"id","substancia","resumoApresentacao","minino","maximo","mediano","marcas","valoresMin","valoresMax","valoresMed"
"15","ACEBROFILINA","5MG/ML|oral|solucao",11.86,743.5,17,"ACEBROFILINA|FILINAR|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|BRONDILAT|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|ACEBROFILINA|BRONTEK|ACEBROFILINA|ACEBROFILINA|BRONCOLEX|ACEBROFILINA","14.59|15.12|14.57|14.59|11.86|23.8|14.76|14.76|14.77|15.46|15.49|13.93|594.8|20.27|15.48|14.55|15.35|14.56","18.24|18.9|18.21|18.24|14.83|29.75|18.45|18.45|18.46|19.33|19.36|17.41|743.5|25.34|19.35|18.19|19.19|18.2","17|18|17|17|14|28|17|17|17|18|18|16|693|24|18|17|18|17"
"16","ACEBROFILINA","5MG|oral|solucao",17.43,21.79,20,"LISOMUC","17.43","21.79","20"
"17","ACECLOFENACO","100MG|oral|comprimido",18.06,60.9,28,"PROFLAM|PROFLAM|FEBUPEN|ACECLOFENACO|CECOFLAN|ACECLOFENACO|ACECLOFENACO|ACECLOFENACO|ACECLOFENACO|ACECLOFENACO|ACECLOFENACO|ACEFLOR|ACECLOFENACO|ACECLOFENACO|ACECLO-GRAN|ACECLOFENACO","37.49|18.06|24.37|24.37|33.54|21.99|23.03|46.01|42.42|24.37|48.72|24.37|23.35|24.34|28.92|24.37","46.86|22.58|30.46|30.46|41.93|27.49|28.79|57.51|53.03|30.46|60.9|30.46|29.19|30.43|36.15|30.46","44|21|28|28|39|26|27|54|49|28|57|28|27|28|34|28"
"18","ACECLOFENACO","15MG/G|30G|oral|pomada-creme-gel",21.79,31.47,28,"PROFLAM","21.79","31.47","28"
"19","ACECLOFENACO","15MG/G|30G|topico|pomada-creme-gel",14.26,20.59,18,"ACECLOFENACO","14.26","20.59","18"
"20","ACEPONATO DE METILPREDNISOLONA","1MG/G|15G|topico|pomada-creme-gel",37.16,53.66,47,"ADVANTAN","37.16","53.66","47"
"21","ACEPONATO DE METILPREDNISOLONA","1MG/G|20G|topico|comprimido",47.6,68.74,60,"ADVANTAN","47.6","68.74","60"
"22","ACEPONATO DE METILPREDNISOLONA","1MG/ML|topico|solucao",50.89,73.5,65,"ADVANTAN|ADVANTAN","50.89|50.89","73.5|73.5","65|65"
"23","ACETATO DE ABIRATERONA","250MG|oral|comprimido",5777.61,12837.16,7324,"ZOSTIDE|MATIZ|ACETATO DE ABIRATERONA|ZYTIGA|ACETATO DE ABIRATERONA|ABBA|ACETATO DE ABIRATERONA|RARIJA|ACETATO DE ABIRATERONA","8580.71|8781.13|5778.02|8889.28|5778.02|5778.02|5777.61|8222.55|5778.03","12391.56|12680.99|8344.14|12837.16|8344.14|8344.14|8343.55|11874.34|8344.15","10877|11131|7324|11268|7324|7324|7324|10423|7324"
"24","ACETATO DE ABIRATERONA","500MG|oral|comprimido",8889.28,12837.16,11268,"ZYTIGA®","8889.28","12837.16","11268"
"25","ACETATO DE ATOSIBANA","7.5MG/ML|injetavel|solucao",214.51,833.74,495,"TRACTOCILE|ACETATO DE ATOSIBANA|ATTOSY","214.51|424.69|666.99","268.14|530.86|833.74","250|495|778"
"26","ACETATO DE ATOSIBANA","7.5MG/ML|oral|solucao",667.04,833.8,778,"TRACTOCILE","667.04","833.8","778"
"27","ACETATO DE CASPOFUNGINA","50MG|oral|solucao",3054.25,3817.81,3561,"CANCIDAS|BERK","3054.25|3054.25","3817.81|3817.81","3561|3561"
"28","ACETATO DE CASPOFUNGINA","70MG|oral|solucao",3934.5,4918.13,4587,"CANCIDAS|BERK","3934.5|3934.5","4918.13|4918.13","4587|4587"
"29","ACETATO DE CETRORRELIX","0.25MG|injetavel|po",206.01,257.51,240,"CETROTIDE","206.01","257.51","240"
"30","ACETATO DE CIPROTERONA","100MG|oral|comprimido",220.57,275.71,257,"ANDROCUR","220.57","275.71","257"
"31","ACETATO DE CIPROTERONA","50MG|oral|comprimido",72.73,117.14,108,"PROSTMAN|ACETATO DE CIPROTERONA|ANDROCUR","108.22|72.73|117.14","108.22|72.73|117.14","108|73|117"
"32","ACETATO DE CIPROTERONA;ETINILESTRADIOL","0.035MG|2MG|oral|comprimido",17.25,44.54,31,"SELENE|SELENE","17.25|35.63","21.56|44.54","20|42"
"33","ACETATO DE CIPROTERONA;ETINILESTRADIOL","2MG|0.035MG|oral|comprimido",10.98,63.29,20,"DICLIN|DICLIN|ACETATO DE CIPROTERONA + ETINILESTRADIOL|ACETATO DE CIPROTERONA + ETINILESTRADIOL|JAQUE|TESS|FERANE 35|FERANE 35|ARTEMIDIS 35|ACETATO DE CIPROTERONA+ETINILESTRADIOL|ACETATO DE CIPROTERONA+ETINILESTRADIOL|DUNIA 35|DUNIA 35|DUELLE|REPOPIL 35|REPOPIL 35|DIANE 35|DIANE 35|FERANE 35|ACETATO DE CIPROTERONA+ETINILESTRADIOL","11.87|28.64|10.98|27.66|13.83|13.24|17.36|50.63|11.07|12.99|27.65|14.15|32.11|42.54|16.55|49.65|19.97|42.56|17.36|12.97","14.84|35.8|13.73|34.58|17.29|16.55|21.7|63.29|13.84|16.24|34.56|17.69|40.14|53.18|20.69|62.06|24.96|53.2|21.7|16.21","14|33|13|32|16|15|20|59|13|15|32|16|37|50|19|58|23|50|20|15"
"34","ACETATO DE CLORMADINONA;ETINILESTRADIOL","2MG|0.02MG|oral|comprimido",31.75,39.69,37,"BELARINA","31.75","39.69","37"
"35","ACETATO DE CLORMADINONA;ETINILESTRADIOL","2MG|0.03MG|oral|comprimido",19.62,108.41,37,"ACETATO DE CLORMADINONA + ETINILESTRADIOL|AMORA|ACETATO DE CLORMADINONA + ETINILESTRADIOL|LIBERFEM|LIBERFEM|ACETATO DE CLORMADINONA + ETINILESTRADIOL|AIXA|AIXA|BELARA|BELARA","20.64|23.13|20.64|31.53|86.73|19.62|31.76|86.73|31.75|31.75","25.8|28.91|25.8|39.41|108.41|24.53|39.7|108.41|39.69|39.69","24|27|24|37|101|23|37|101|37|37"
"36","ACETATO DE DEGARELIX","120MG|injetavel|solucao",850.07,1062.59,991,"FIRMAGON","850.07","1062.59","991"
"37","ACETATO DE DEGARELIX","80MG|injetavel|solucao",466.95,583.69,544,"FIRMAGON","466.95","583.69","544"
"38","ACETATO DE DESMOPRESSINA","0.1MG/ML|nasal|solucao",190.37,190.37,190,"DDAVP|DDAVP","190.37|190.37","190.37|190.37","190|190"
"39","ACETATO DE DESMOPRESSINA","0.1MG/ML|oral|solucao",123.74,123.74,124,"ACETATO DE DESMOPRESSINA","123.74","123.74","124"
"40","ACETATO DE DESMOPRESSINA","0.1MG|oral|comprimido",138.73,173.41,162,"DDAVP","138.73","173.41","162"
"41","ACETATO DE DESMOPRESSINA","0.2MG|oral|comprimido",138.73,173.41,162,"DDAVP","138.73","173.41","162"
"42","ACETATO DE DESMOPRESSINA","4MCG/ML|injetavel|solucao",205.78,257.23,240,"DDAVP","205.78","257.23","240"
"43","ACETATO DE DEXAMETASONA","10G|topico|comprimido",169.11,211.39,197,"FURP-DEXAMETASONA","169.11","211.39","197"
"44","ACETATO DE DEXAMETASONA","1MG/ G|10G|topico|pomada-creme-gel",5.79,7.24,7,"ACETATO DE DEXAMETASONA","5.79","7.24","7"
"45","ACETATO DE DEXAMETASONA","1MG/G|10G|oral|pomada-creme-gel",6.58,12.09,9.5,"METADEX|ACETATO DE DEXAMETASONA","9.67|6.58","12.09|8.23","11|8"
"46","ACETATO DE DEXAMETASONA","1MG/G|10G|topico|pomada-creme-gel",3.28,532.98,8,"ACETATO DE DEXAMETASONA|ACETATO DE DEXAMETASONA|ACETATO DE DEXAMETASONA|ACETATO DE DEXAMETASONA|CORTITOP|ACETATO DE DEXAMETASONA|DEXAGREEN|ACETATO DE DEXAMETASONA|ACETATO DE DEXAMETASONA|ACETATO DE DEXAMETASONA|ACETATO DE DEXAMETASONA|CETADEX|DEXADERMIL","6.57|6.51|3.28|328.08|10.19|6.58|7.41|6.51|426.38|6.25|6.09|9.92|8.43","8.21|8.14|4.1|410.1|12.74|8.23|9.26|8.14|532.98|7.81|7.61|12.4|10.54","8|8|4|383|12|8|9|8|497|7|7|12|10"
"47","ACETATO DE FLUDROCORTISONA","0.1MG|oral|comprimido",201.55,201.55,202,"FLORINEFE","201.55","201.55","202"
"48","ACETATO DE FLUORMETOLONA","1MG/ML|oftalmico|solucao",17.66,25.5,22.5,"FLORATE|FLUTINOL","17.66|19.84","25.5|24.8","22|23"
"49","ACETATO DE GANIRRELIX","0.5MG/ML|injetavel|solucao",239.79,299.74,280,"ORGALUTRAN","239.79","299.74","280"
"50","ACETATO DE GLATIRÂMER","40MG/ML|injetavel|solucao",3984.4,4980.5,4646,"COPAXONE","3984.4","4980.5","4646"
"51","ACETATO DE GOSSERRELINA;GOSERRELINA","10.8MG|oral|po",1691.38,1691.38,1691,"ZOLADEX","1691.38","1691.38","1691"
"52","ACETATO DE GOSSERRELINA;GOSERRELINA","3.6MG|oral|po",660.59,660.59,661,"ZOLADEX","660.59","660.59","661"
"53","ACETATO DE HIDROCORTISONA","10MG/ G|20G|topico|pomada-creme-gel",7.12,14.56,11,"ACETATO DE HIDROCORTISONA|CORTIGEN","7.12|10.08","10.28|14.56","9|13"
"54","ACETATO DE HIDROCORTISONA","10MG/G|15G|topico|pomada-creme-gel",6.69,14.92,10.5,"ACETATO DE HIDROCORTISONA|BERLISON","6.69|10.33","9.66|14.92","8|13"
"55","ACETATO DE HIDROCORTISONA","10MG/G|20G|topico|pomada-creme-gel",7.7,11.11,10,"ACETATO DE HIDROCORTISONA","7.7","11.11","10"
"56","ACETATO DE HIDROCORTISONA","10MG/G|30G|topico|pomada-creme-gel",12.08,26.79,19.5,"ACETATO DE HIDROCORTISONA|BERLISON","12.08|18.55","17.45|26.79","15|24"
"57","ACETATO DE LANREOTIDA","120MG|injetavel|solucao",2825.12,2825.12,2825,"SOMATULINE AUTOGEL","2825.12","2825.12","2825"
"58","ACETATO DE LANREOTIDA","60MG|injetavel|solucao",2628.84,2628.84,2629,"SOMATULINE AUTOGEL","2628.84","2628.84","2629"
"59","ACETATO DE LANREOTIDA","90MG|injetavel|solucao",2825.12,2825.12,2825,"SOMATULINE AUTOGEL","2825.12","2825.12","2825"
"60","ACETATO DE LEUPRORRELINA","11.25MG|injetavel|solucao",1693.65,1693.65,1694,"LUPRON","1693.65","1693.65","1694"
"61","ACETATO DE LEUPRORRELINA","22.5MG|injetavel|solucao",3319.58,4149.48,3870,"ELIGARD","3319.58","4149.48","3870"
"62","ACETATO DE LEUPRORRELINA","3.75MG|injetavel|solucao",498.37,524.63,511.5,"LECTRUM|LUPRON","498.37|524.63","498.37|524.63","498|525"
"63","ACETATO DE LEUPRORRELINA","45MG|injetavel|solucao",7654.6,9568.25,8925,"ELIGARD","7654.6","9568.25","8925"
"64","ACETATO DE LEUPRORRELINA","5MG/ML|injetavel|solucao",624.34,780.43,728,"LUPRON","624.34","780.43","728"
"65","ACETATO DE LEUPRORRELINA","7.5MG|injetavel|solucao",1289.22,1806.26,1594,"LECTRUM|ELIGARD","1289.22|1445.01","1611.53|1806.26","1503|1685"
"66","ACETATO DE MEDROXIPROGESTERONA","10MG|oral|comprimido",21.49,26.86,25,"PROVERA","21.49","26.86","25"
"67","ACETATO DE MEDROXIPROGESTERONA","150MG/ML|injetavel|solucao",16.06,32.41,29,"DEMEDROX|DEMEDROX|CONTRACEP|DEPO-PROVERA|DEPO-PROVERA","25.42|24.97|16.06|25.02|32.41","31.78|31.21|20.08|25.02|32.41","30|29|19|25|32"
"68","ACETATO DE MEDROXIPROGESTERONA","160MG/ML|injetavel|solucao",30.22,37.78,35,"SAYANA","30.22","37.78","35"
"69","ACETATO DE MEGESTROL","160MG|oral|comprimido",170.71,213.39,199,"FEMIGESTROL","170.71","213.39","199"
"70","ACETATO DE METILPREDNISOLONA","40MG/ML|injetavel|solucao",13.36,17.16,16,"PREDI-MEDROL|DEPO-MEDROL","13.36|13.73","16.7|17.16","16|16"
"71","ACETATO DE NOMEGESTROL","5MG|oral|comprimido",37.28,46.6,43,"LUTENIL","37.28","46.6","43"
"72","ACETATO DE NORETISTERONA","10MG|oral|comprimido",13.59,16.99,16,"PRIMOLUT-NOR","13.59","16.99","16"
"73","ACETATO DE OCTREOTIDA","0.1MG/ML|injetavel|solucao",271.86,339.83,317,"OCTRIDE","271.86","339.83","317"
"74","ACETATO DE OCTREOTIDA","10MG|injetavel|solucao",3569.66,3569.66,3570,"SANDOSTATIN","3569.66","3569.66","3570"
"75","ACETATO DE OCTREOTIDA","20MG|injetavel|solucao",5491.39,5491.39,5491,"SANDOSTATIN","5491.39","5491.39","5491"
"76","ACETATO DE OCTREOTIDA","30MG|injetavel|solucao",7413.32,7413.32,7413,"SANDOSTATIN","7413.32","7413.32","7413"
"77","ACETATO DE PREDNISOLONA","1.2MG/ML|oftalmico|solucao",12.87,33.79,23,"PRED|STER","12.87|23.4","18.59|33.79","16|30"
"78","ACETATO DE PREDNISOLONA","1.2MG/ML|oral|solucao",25.76,37.2,33,"PRED","25.76","37.2","33"
"79","ACETATO DE PREDNISOLONA","10MG/ML|oftalmico|solucao",14.23,34.44,20,"ACETATO DE PREDNISOLONA|OFTPRED|STER|PREDOPTIC|ACETATO DE PREDNISOLONA","14.67|23.85|14.23|20.98|16.16","21.18|34.44|20.55|30.3|23.34","19|30|18|27|20"
"80","ACETATO DE PREDNISOLONA","10MG/ML|oral|solucao",24.87,35.92,32,"PRED","24.87","35.92","32"
"81","ACETATO DE RACEALFATOCOFEROL","400MG|oral|comprimido",13.75,46.26,27,"VITAMINA E|VITAMINA E|TEUTOVIT E|VITA E|VITAMIN E|EPHYNAL|EMAMA","13.75|24.75|19.55|20.06|31.9|32.04|21.51","19.86|35.74|28.24|28.97|46.07|46.26|31.06","17|31|25|25|40|41|27"
"82","ACETATO DE RACEALFATOCOFEROL","400UI|oral|comprimido",18.54,26.77,23,"E-TABS","18.54","26.77","23"
"83","ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO","800MCG|20MG|oral|comprimido",37.22,53.75,47,"ENVID","37.22","53.75","47"
"84","ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO","ERRO|oral|comprimido",52,75.09,66,"VITERGAN ZINCO","52","75.09","66"
"85","ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL","ERRO|oral|solucao",7.79,263.62,54,"ADEFORTE|ADEFORTE|ADEFORTE","42.51|7.79|182.54","61.39|11.26|263.62","54|10|231"
"86","ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;RIBOFLAVINA;CIANOCOBALAMINA;FLUORETO;BIOTINA;COLECALCIFEROL;IODETO DE POTÁSSIO;SULFATO DE MANGANÊS;PANTOTENATO DE CÁLCIO;SULFATO DE POTÁSSIO;FUMARATO FERROSO;NITRATO DE TIAMINA;PANAX GINSENG;NICOTINAMIDA;ÁCIDO ASCÓRBICO;RUTOSÍDEO;ACETATO DE RACEALFATOCOFEROL","ERRO|oral|comprimido",41.01,118.91,78,"GERILON|GERILON","41.01|82.34","59.22|118.91","52|104"
"87","ACETATO DE RETINOL;COLECALCIFEROL","50000UI/ML|10000UI/ML|oral|solucao",4.65,3705.1,12,"AD-TIL|AD-TIL|AD-VITAM|AD-VITAM","4.65|9.97|8.64|2565.65","6.72|14.4|12.48|3705.1","6|13|11|3252"
"88","ACETATO DE SÓDIO TRIIDRATADO","ERRO|injetavel|solucao",438.91,548.64,512,"ACETATO DE SÓDIO","438.91","548.64","512"
"89","ACETATO DE SÓDIO TRIIDRATADO;CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO","ERRO|oftalmico|solucao",2167.19,3809.67,3045.5,"SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR|SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR","2638.06|2167.19","3809.67|3129.67","3344|2747"
"90","ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO","ERRO|injetavel|solucao",103.1,148.89,131,"PLASMAFUNDIN","103.1","148.89","131"
"91","ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO","ERRO|oral|solucao",3092.96,4466.61,3921,"PLASMAISTAR","3092.96","4466.61","3921"
"92","ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO","ERRO|injetavel|solucao",103.1,148.89,131,"PLASMA LYTE","103.1","148.89","131"
"93","ACETATO DE SÓDIO TRIIDRATADO;HIDROXIETILAMIDO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO","60MG/ML|6MG/ML|0.4MG/ML|0.134MG/ML|0.2MG/ML|3.7MG/ML|injetavel|solucao",895,1118.75,1044,"ISTARHES","895","1118.75","1044"
"94","ACETATO DE TERLIPRESSINA","0.12MG/ML|injetavel|solucao",260.77,325.96,304,"GLYPRESSIN","260.77","325.96","304"
"95","ACETATO DE TERLIPRESSINA","1MG|injetavel|po",260.77,325.96,304,"GLYPRESSIN","260.77","325.96","304"
"96","ACETATO DE TOCOFEROL;ÁCIDO FÓLICO","400MCG|10MG|oral|comprimido",54.12,78.15,69,"DTN-FOL","54.12","78.15","69"
"97","ACETATO DE TOCOFEROL;CÂNFORA (2-BORNANONA);MENTOL","12.5MG|10MG|10MG|3MG|oral|comprimido",7.35,10.61,9,"SALONPAS","7.35","10.61","9"
"98","ACETATO DE TOCOFEROL;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ASPARTATO DE MAGNÉSIO;CLORIDRATO DE TIAMINA;ASPARTATO DE POTÁSSIO","ERRO|oral|comprimido",12.49,53.42,31.5,"CAZIGERAN|CAZIGERAN","12.49|36.99","18.04|53.42","16|47"
"99","ACETATO DE TRIPTORRELINA","0.1MG/ML|injetavel|solucao",235.66,294.58,275,"GONAPEPTYL DAILY","235.66","294.58","275"
"100","ACETATO DE TRIPTORRELINA","3.75MG|oral|comprimido",555.95,555.95,556,"GONAPEPTYL DEPOT","555.95","555.95","556"
"101","ACETAZOLAMIDA","250MG|oral|comprimido",11.02,13.78,13,"DIAMOX","11.02","13.78","13"
"102","ACETIL-LEVOMETIONINA","40MG/ML|53MG/ML|50MG/ML|oral|solucao",7.48,10.81,9,"XANTINON COMPLEX","7.48","10.81","9"
"103","ACETILCISTEÍNA","100MG/ML|inalatorio|solucao",17.21,24.85,22,"FLUCISTEIN","17.21","24.85","22"
"104","ACETILCISTEÍNA","100MG/ML|injetavel|solucao",10.46,372.2,21,"FLUIMUCIL|ACETILCISTEINA|BROMUC","16.2|10.46|257.73","23.39|15.11|372.2","21|13|327"
"105","ACETILCISTEÍNA","100MG|5G|oral|po",15.83,22.86,20,"ACETILCISTEINA","15.83","22.86","20"
"106","ACETILCISTEÍNA","11.5MG/ML|nasal|solucao",21.31,30.78,27,"FLUIMUCIL","21.31","30.78","27"
"107","ACETILCISTEÍNA","120MG/G|5G|oral|solucao",28.22,98.39,58.5,"FLUIMUCIL|CISTEIL|CISTEIL|ACETILCISTEÍNA","61.79|31.06|68.13|28.22","89.24|44.86|98.39|40.76","78|39|86|36"
"108","ACETILCISTEÍNA","200MG|5G|oral|granulado",12.92,24.91,20,"FLUITEÍNA|ACETILCISTEÍNA|NAC","17.25|15.43|12.92","24.91|22.28|18.66","22|20|16"
"109","ACETILCISTEÍNA","200MG|5G|oral|po",17.67,25.52,22,"ACETILCISTEINA","17.67","25.52","22"
"110","ACETILCISTEÍNA","200MG|oral|comprimido",27.55,39.79,35,"FLUIMUCIL","27.55","39.79","35"
"111","ACETILCISTEÍNA","20MG/ML|oral|solucao",13.9,40.29,20.5,"ACETILCISTEÍNA|ACETILCISTEÍNA|FLUIMUCIL|FLUITEÍNA|ACETILCISTEÍNA|PNEUMUCIL|ACETILCISTEÍNA|FLUCISTEIN|ACETILCISTEINA|ACETILCISTEÍNA|NAC|ACETILCISTEÍNA|CISTEIL|CETILPLEX|ACETILCISTEÍNA|AIRES","17.68|19.96|27.9|16.14|17.51|15.79|19.32|16.49|15.8|15.8|14.04|14.64|13.9|21.27|16.92|16.05","25.53|28.83|40.29|23.31|25.28|22.81|27.9|23.82|22.82|22.82|20.28|21.15|20.08|30.71|24.43|23.18","22|25|35|20|22|20|24|21|20|20|18|19|18|27|21|20"
"112","ACETILCISTEÍNA","40MG/G|5G|oral|po",22.89,33.06,29,"FLUCISTEIN","22.89","33.06","29"
"113","ACETILCISTEÍNA","40MG/G|5G|oral|solucao",18.59,45.76,32,"CISTEIL|CISTEIL","18.59|31.69","26.85|45.76","24|40"
"114","ACETILCISTEÍNA","40MG/ML|oral|solucao",20.02,55.43,27.5,"ACETILCISTEÍNA|FLUIMUCIL|FLUITEÍNA|ACETILCISTEÍNA|ACETILCISTEÍNA|ACETILCISTEINA|ACETILCISTEINA|ACETILCISTEÍNA|NAC|ACETILCISTEÍNA|CISTEIL|ACETILCISTEÍNA","21.07|38.38|21.1|22.88|25.27|22.46|21.06|21.06|20.21|21.79|20.02|23.02","30.43|55.43|30.47|33.05|36.49|32.43|30.42|30.42|29.18|31.46|28.91|33.24","27|49|27|29|32|28|27|27|26|28|25|29"
"115","ACETILCISTEÍNA","600MG|5G|oral|granulado",29.46,43.07,38,"FLUITEÍNA|ACETILCISTEÍNA|ACETILCISTEÍNA|NAC|ACETILCISTEÍNA","29.47|29.74|29.82|29.46|29.74","42.56|42.95|43.07|42.55|42.95","37|38|38|37|38"
"116","ACETILCISTEÍNA","600MG|5G|oral|po",29.83,60.7,50,"ACETILCISTEINA|ACETILCISTEÍNA|AIRES","39.33|29.83|42.04","56.8|43.08|60.7","50|38|53"
"117","ACETILCISTEÍNA","600MG|oral|comprimido",61.91,89.41,78,"FLUIMUCIL","61.91","89.41","78"
"118","ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA","40MG/ML|53MG/ML|50MG/ML|oral|solucao",18.61,134.32,71,"XANTINON COMPLEX|XANTINON COMPLEX","18.61|93.01","26.87|134.32","24|118"
"119","ACETONIDA DE TRIANCINOLONA","550MCG/ML|nasal|solucao",35.82,44.78,42,"ALLENASAL|ALLENASAL","35.82|35.82","44.78|44.78","42|42"
"120","ACICLOVIR","200MG|oral|comprimido",23.6,3314.49,90.5,"ACICLOVIR|HERPESIL|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR|ZOVIRAX|ANTIVIRAX|EZOPEN|ACICLOVIR|UNI-VIR|UNI-VIR|ACICLOVIR|HPMIX|ACICLOVIR|ACIVIRAX|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR|HERVIRAX|HERVIRAX|ACICLOVIR|ACICLOMED|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR","53.4|23.6|76.84|79.26|38.81|74.65|203.98|81|77.94|132.57|58.9|471.35|159.1|132.58|132.58|50.52|26.04|54.3|1194.51|71.65|76.93|686.83|58.31|676.32|58.31|80.06|58.71|159.1|2651.59|53.73","66.75|29.5|96.05|99.08|48.51|93.31|254.98|101.25|97.43|165.71|73.63|589.19|198.88|165.73|165.73|63.15|32.55|67.88|1493.14|89.56|96.16|858.54|72.89|845.4|72.89|100.08|73.39|198.88|3314.49|67.16","62|28|90|92|45|87|238|94|91|155|69|550|186|155|155|59|30|63|1393|84|90|801|68|789|68|93|68|186|3092|63"
"121","ACICLOVIR","250MG|injetavel|solucao",580.23,725.29,677,"ZOVIRAX","580.23","725.29","677"
"122","ACICLOVIR","30MG/G|oftalmico|po",43.05,94.24,69,"HERVIRAX|ACICLOVIR","75.39|43.05","94.24|53.81","88|50"
"123","ACICLOVIR","400MG|oral|comprimido",52.13,183.2,137,"ACICLOVIR|ACICLOVIR|ACICLOVIR|ANTIVIRAX|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR|ACICLOVIR","146.54|60.25|146.56|146.56|52.13|108.61|143.39|95.25|117.24","183.18|75.31|183.2|183.2|65.16|135.76|179.24|119.06|146.55","171|70|171|171|61|127|167|111|137"
"124","ACICLOVIR","50MG/G|10G|oral|pomada-creme-gel",13.09,18.9,17,"ACICLOR","13.09","18.9","17"
